title,description,price,pagecount,publisher,writer,artist,coverartist,productcode,upc,color,format
Injustice 2 TP Vol 03,"(W) Tom Taylor, Others (A) Bruno Redondo & Various (CA) Mike S. Miller Wonder Woman takes center stage as the war between Batman and Ra's al Ghul continues. Nightwing (Damian Wayne) asks Black Adam's help in freeing Wonder Woman from her Themysciran prison, but ends up discovering the existence of a new ally: Superman's cousin, Kara Zor-El, whose power could change the fate of the planet! But Kara has yet to master her Kryptonian powers, and what starts as a rescue mission takes some unexpected turns in the heart of the Amazons' home! Collects INJUSTICE 2 #13, #15-17 and ANNUAL #1.",9.85,,DC,Tom Taylor,Bruno Redondo,Mike S. Miller,SEP180589,9781401285326,Color,Softcover
Injustice 2 TP Vol 02,"(W) Tom Taylor (A) Bruno Redondo & Various (CA) Bruno Redondo, Juan Albarran In these tales from INJUSTICE 2 #7-12 and #14, Batman has triumphed over the tyrannical Superman! In his quest to put the world back together, Batman recruits Ted Kord to join his new Justice League Council. Meanwhile, Harley finally meets the person pulling the Suicide Squad's strings and uncovers their deadly plans, and Batman's allies make a major decision about their future, following the tragic death of one of their own.",9.85,168.0,DC,Tom Taylor,Bruno Redondo,Bruno Redondo,MAY180583,9781401281342,Color,Softcover
Joker Death of the Family HC (N52),"After having his face sliced off one year ago, The Joker makes his horrifying return in this new epic that stars Batman's network of crimefighting allies! While The Joker threatens the existence of Gotham City, these heroes-and villains-must find a way to survive in stories from BATMAN #17, CATWOMAN #13-14, BATGIRL #14-16, BATMAN AND ROBIN #15-17, NIGHTWING #15-16, DETECTIVE COMICS #16-17, RED HOOD AND THE OUTLAWS #15-16 and TEEN TITANS #15, plus pages from BATMAN #13, BATGIRL #13, NIGHTWING #14, RED HOOD AND THE OUTLAWS #13-14, SUICIDE SQUAD #14-15 and TEEN TITANS #14 and 16.",17.39,456.0,DC,Various Scott Snyder,Various Greg Capullo,Greg Capullo,JUN130256,9781401242350,Color,Hardcover
Joker 80th Anniv 100 Page Super Spect #1 2000S Lee Bermejo V,"The Clown Prince of Crime celebrates 80 years of chaos! The Joker has been the greatest villain in comics since his debut and to celebrate we have a who's who of comics' finest talent giving the Harlequin of Hate the birthday roast he deserves. The stories feature a range of terror and anarchy, showing how the Joker has impacted Gotham City from the police to Arkham Asylum, from the local underworld to the Dark Knight and his allies! Make sure to RSVP to this birthday bash-you wouldn't want to wake up with a Joker Fish on your doorstep, would you?",6.99,96.0,DC,Brian Azzarello & Various,Rafael Albuquerque & Various,Lee Bermejo,FEB200399,76194136774300181,Full Color,Softcover
Joker 80 Years of the Clown Prince of Crime HC,"(W/A) Various (CA) Jim Lee, Scott Williams DC celebrates the 80-year history of Batman's greatest foe, The Joker! This new hardcover includes The Joker's most memorable appearances, from his 1940 debut in the pages of Batman #1 (1940) to recent classics from top creators including Scott Snyder, Tony S. Daniel, Paul Dini, and more! Discover the stories that shaped the villain into one of pop culture's most indelible, twisted icons. Collects stories from Batman #1, #159, #251, #321, #429, #614, Detective Comics #168, #475, #476, #826, Batman: The Killing Joke, Batman Adventures: Mad Love, Batman: Legends of the Dark Knight #50, Gotham Central #15, Detective Comics #1 (2011) and Batman #17 (2013).",17.39,448.0,DC,Unknown,Unknown,Unknown,JAN200653,9781401299934,Full Color,Hardcover
Joker Endgame HC,"(W) James TynionIV & Various (A) Kelley Jones & Various (CA) Andy Kubert Gotham City is overrun by Jokerized victims, and The Joker himself is prowling the streets. Even as Batman confronts the Clown Prince of Crime, ordinary citizens and Arkham inmates must confront the mark The Joker has left on the city and themselves. Is anyone truly safe? This jam-packed collection features backup stories from Batman #35-#40 (main story and back-ups), Arkham Manor: Endgame #1, Batgirl: Endgame #1, Batman Annual #3, Detective Comics: Endgame #1, and Gotham Academy: Endgame #1.",17.39,312.0,DC,James Tynioniv,Kelley Jones,Andy Kubert,MAY150232,9781401258771,Full Color,Hardcover
Joker Death of the Family TP (N52),"The Joker makes his horrifying return in these tales from BATMAN #17, CATWOMAN #13-14, BATGIRL #14-16, BATMAN AND ROBIN #15-17, NIGHTWING #15-16, DETECTIVE COMICS #16-17, RED HOOD AND THE OUTLAWS #15-16 and TEEN TITANS #15, plus pages from BATMAN #13, BATGIRL #13, NIGHTWING #14, RED HOOD AND THE OUTLAWS #13-14, SUICIDE SQUAD #14-15 and TEEN TITANS #14 and 16.",14.49,456.0,DC,Various Scott Snyder,Various Greg Capullo,Greg Capullo,JAN140340,9781401246464,Color,Softcover
Joker 80th Anniv 100 Page Super Spect #1 1980S Seinkiewicz V,"The Clown Prince of Crime celebrates 80 years of chaos! The Joker has been the greatest villain in comics since his debut and to celebrate we have a who's who of comics' finest talent giving the Harlequin of Hate the birthday roast he deserves. The stories feature a range of terror and anarchy, showing how the Joker has impacted Gotham City from the police to Arkham Asylum, from the local underworld to the Dark Knight and his allies! Make sure to RSVP to this birthday bash-you wouldn't want to wake up with a Joker Fish on your doorstep, would you?",6.99,96.0,DC,Brian Azzarello & Various,Rafael Albuquerque & Various,Bill Sienkiewicz,FEB200397,76194136774300161,Full Color,Softcover
John Constantine Hellblazer Vol 02 the Best Version of You TP (MR),"(W) Simon Spurrier (A) Aaron Campbell, Matias Bergara (CA) John Paul Leon One of DC?s and the Sandman Universe?s most iconic characters is back for more dark and twisted antics in volume two of one of the most critically acclaimed series of the year! Will Constantine protect a group of British fishermen from an ancient merwoman? Or stop a disgraced royal from unleashing a bloodthirsty horror? It all leads to John Constantine facing his final reckoning with the older version of himself who?s been seeding magical chaos all around England. Can the evil in John?s heart ever be contained? Or will it destroy the one life he would give anything not to corrupt? Collects John Constantine: Hellblazer #7-12.",9.85,,DC,Simon Spurrier,Matias Bergara Aaron Campbell,John Paul Leon,DEC207101,9781779509536,Unknown,Softcover
Jack of Fables Deluxe HC Book 02 (MR),"(W) Matthew Sturges, Bill Willingham (A) Russell Braun & Various (CA) Brian Bolland In these stories from issues #17-32, the 'Americana' epic unfolds as Jack rebuilds Humpty Dumpty, then travels on the same path as Paul Bunway and Hillary Page. Plus, a secret chapter from Jack's past as the Old West hero Jack Candle is revealed-silver bullets and all! MATURE READERS",23.19,416.0,DC,Matthew Sturges,Russell Braun,Brian Bolland,NOV170389,9781401277710,Color,Hardcover
Jla TP Vol 12 the Obsidian Age Book Two,Unknown,10.43,,DC,Unknown,Unknown,Unknown,OCT058197,Unknown,Color,Softcover
Jla TP Vol 03,"Collecting tales from JLA #18-31 • The JLA's very first foe, Starro the Conqueror, returns in this title now in trade paperback!",14.49,344.0,DC,Grant Morrison,"John Dell, Mark Pajarillo, Walden Wong Howard Porter",John Dell Howard Porter,OCT120267,9781401238322,Color,Softcover
Jla TP Vol 04,"In this latest trade paperback collecting JLA #32-46, the team is up against a new, deadly Injustice Gang led by Lex Luthor. And then, Ra's al Ghul continues his quest to save Earth from its inhabitants by thinning the ranks of humanity - starting with the Justice League!",14.49,384.0,DC,Various Grant Morrison,Mark Pajarillo Howard Porter,John Dell Howard Porter,NOV130242,9781401243852,Color,Softcover
Jack of Fables Deluxe HC Book 01 (Res) (MR),"(W) Bill Willingham, Matthew Sturges (A) Tony Akins & Various (CA) Brian Bolland From the pages of FABLES, Jack is back in a new series of Deluxe Editions collecting issues #1-16! As a wayward Fable in the heartland of America, Jack encounters other renegade Fables as the series begins. Find out how Jack stole the Snow Queen's powers to become Jack Frost, and witness Jack's arrival in Las Vegas, where he meets and weds an heiress!",23.19,416.0,DC,Bill Willingham,Tony Akins,Brian Bolland,DEC160413,9781401264635,Full Color,Hardcover
Izombie TP Vol 03 Six Feet Under and Rising (MR),"In this collection of issues #13-17, Spot tumbles into a cemetery sinkhole full of hungry creatures, Gwen's monster hunter boyfriend might uncover her big secret, and The Dead Presidents arrive, intent on taking names in a city infested with skeeball fanatics, mad scientists and shambling zombies!",8.69,128.0,DC,Chris Roberson,Michael Allred,Michael Allred,NOV110232,9781401233709,Color,Softcover
Izombie TP Vol 04 Repossession (MR),"This final collection contains iZOMBIE #19-28! Following a zombie invasion and some major heartbreaks, Gwen is hiding out in her crypt. But Galatea and Dr. Coffee are determined to give the town more to worry about - and the only one standing in their way is Amon the dashing, deadly mummy, and the end of the world as we know it.",11.59,224.0,DC,Chris Roberson,Various Mike Allred,Mike Allred,SEP120261,9781401236977,Color,Softcover
Invisibles TP Book 03 (MR),"(W) Grant Morrison (A) Phil Jimenez & Various (CA) Brian Bolland In this third INVISIBLES collection, the team launches an assault on an underground New Mexico lab to free the cure for the AIDS virus from the alleged inventors of the disease: the U.S. government. Collects THE INVISIBLES VOL. 2 #1-13.",14.49,336.0,DC,Grant Morrison,Phil Jimenez,Brian Bolland,APR180293,9781401281021,Color,Softcover
Injustice Ground Zero HC Vol 02,"(W) Christopher Sebela (A) Pop Mhan & Various (CA) Matthew Clark, Sean Parsons In these stories from issues #7-12, Harley and The Joker are back together, but is Harley Quinn a pawn in an evil plot, or is she setting an elaborate trap? And as the world moves ever closer to mass destruction, heroes fall and villains rise in INJUSTICE: GROUND ZERO VOL. 2, setting the stage for the new game Injustice 2!",14.49,136.0,DC,Christopher Sebela,Pop Mhan,Matthew Clark,JUN170404,9781401273880,Color,Hardcover
Injustice Gods Among Us Year Two Complete Coll TP,"(W) Tom Taylor (A) Bruno Redondo, Mike S. Miller (CA) Jheremy Raapack The death of one of their own has divided Earth's protectors in these stories from INJUSTICE: GODS AMONG US YEAR TWO #1-12 and ANNUAL #1. As Superman's iron grip on the world tightens, another threat approaches the Earth! Plus, the Green Lantern Corps is forced to take extreme measures in an attempt to dethrone Superman and restore order to the universe.",14.49,312.0,DC,Tom Taylor,Bruno Redondo,Jheremy Raapack,OCT160308,9781401265601,Color,Softcover
Injustice Gods Among Us Year Three TP Vol 01,"(W) Tom Taylor (A) Mike S. Miller, Bruno Redondo (CA) Neil Googe The war is over, but it claimed a civilian victim whose death John Constantine will not let go unavenged. Joining forces with Batman, Constantine unites a team of magical beings, super heroes, and ordinary humans to finish off Superman. Collects issues #1-7 of the hit series!",8.69,160.0,DC,Tom Taylor,Mike S. Miller,Neil Googe,NOV150270,9781401263140,Full Color,Softcover
Injustice Gods Among Us Year Four Complete Coll TP,"(W) Brian Buccellato, Tom Taylor (A) Bruno Redondo, Others (CA) Yildiray Cinar When Superman and the Justice League declared themselves the ultimate authority on planet Earth, only Batman stood against them-but now Batman is defeated. His resistance army has suffered major losses and dwindled to nearly nothing. The man who always has a backup plan for his backup plans has nothing-except for one final, desperate gambit. Collects Injustice: Gods Among Us: Year Four #1-12 and Injustice: Gods Among Us: Year Four Annual #1!",17.39,,DC,Brian Buccellato,Bruno Redondo,Yildiray Cinar,OCT180590,9781401285807,Color,Softcover
Injustice Gods Among Us Year Five Complete Coll TP,"(W) Brian Buccellato (A) Iban Coello & Various (CA) Brett Booth, Norm Rapmund In the war between Superman and Batman, all the heroes have chosen sides. For five years, former friends and allies have fought bitterly, with casualties on both sides. Now, at an impasse, both Batman and Superman realize that to gain ground in their battle, they'll have to do the unthinkable: recruit their former enemies to attack their former friends. Collects Injustice: Gods Among Us: Year Five #1-20 and the Annual #1.",20.29,496.0,DC,Brian Buccellato,Iban Coello,Brett Booth,OCT190676,9781401295660,Color,Softcover
Injustice Gods Among Us Year Five TP Vol 01,"(W) Brian Buccellato (A) Mike S. Miller, Bruno Redondo (CA) David Yardin Having defeated the Green Lantern Corps, the forces of magic, and now the gods themselves, the Superman's regime seems to have eliminated all threats. Yet uneasy lies the crown on the head of the Man of Steel. Still obsessed with the outlaw Batman and worried about having enough troops to police his world, the Man of Steel begins to recruit some of Earth's deadliest villains to his side. Collects issues #1-7 of Year Five.",9.85,176.0,DC,Brian Buccellato,Mike S. Miller,David Yardin,NOV160333,9781401268831,Full Color,Softcover
Injustice Gods Among Us Year 2 TP Vol 01,"(W) Tom Taylor (A) Bruno Redondo & Various (CA) Jheremy Raapack The death of one of their own has divided Earth's protectors as hero turns against hero. As Superman's iron grip on the world tightens, at the edge of the galaxy another grave threat approaches. Collects INJUSTICE: GODS AMONG US YEAR TWO #1-6.",8.69,144.0,DC,Tom Taylor,Bruno Redondo,Jheremy Raapack,JAN150374,9781401253400,Full Color,Softcover
Injustice Gods Among Us TP Vol 02,"(W) Tom Taylor (A) Jheremy Raapack & Various From the ashes of Metropolis come Superman and the JLA's newest ally: Lex Luthor! Against all odds, he's not only survived but now embraces Superman's goals. Of course, Lex has his own ideas for how to create a better world. The Man of Steel trusts him, but can the rest of his allies be so sure? Collecting INJUSTICE: GODS AMONG US #7-12 and ANNUAL #1!",9.85,224.0,DC,Tom Taylor,Jheremy Raapack,Unknown,OCT140368,9781401250454,Full Color,Softcover
Injustice Gods Among Us TP Vol 01,"In these stories from issues #1-6, things in the DC Universe have changed after Superman is tricked into destroying the one thing he loves most. Now the heroes of our world must whether they are with Superman or against him.",8.69,192.0,DC,Tom Taylor,Mike S. Miller Jheremy Raapack,Unknown,MAR140265,9781401248437,Color,Softcover
I Paparazzi Sc                                              ,"Written by Pat McGreal; ART and cover by Stephen John Phillips and Steven Parke In stores November 6. Now in softcover! This hallucinatory, psychological thriller recounts one night in the life of 'Monster' McGowran, one of New York City's paparazzi. A night that takes a left turn into weirdness when he's beaten to a pulp by the bodyguards of an inscrutable young movie star. But when Monster plans his revenge, he accidentally uncovers something strange, horrifying and not meant to be discovered.",9.97,96.0,DC,Pat Mcgreal,Stephen John Phillips Steven Parke,Stephen John Phillips Steven Parke,STAR17136,76194123203400111,Color,Softcover
Joker Endgame TP,"(W) Scott Snyder & Various (A) Greg Capullo & Various (CA) Greg Capullo Gotham City is overrun by Jokerized victims, and The Joker himself is prowling the streets. Even as Batman confronts the Clown Prince of Crime, ordinary citizens and Arkham inmates must confront the mark The Joker has left on the city and themselves. Is anyone truly safe? This jam-packed collection features stories from BATMAN #35-40, BATMAN ANNUAL #3, GOTHAM ACADEMY: ENDGAME #1, BATGIRL: ENDGAME #1, DETECTIVE COMICS: ENDGAME #1 and ARKHAM MANOR: ENDGAME #1.",14.49,312.0,DC,Scott Snyder,Greg Capullo,Greg Capullo,FEB160224,9781401261658,Color,Softcover
Injustice 2 TP Vol 05,"(W) Tom Taylor (A) Xermanico & Various (CA) Tyler Kirkham Condemned to a prison planet by the Guardians of Oa, Hal Jordan must come to grips with his role in Superman's failed Regime. Haunted by visions of the past and berated by his guard, Soranik, the former Green Lantern takes out his anger on a new arrival. But an attack on the prison might soon spell disaster for the Green Lantern Corps. Collects issues #25-30!",9.85,144.0,DC,Tom Taylor,Xermanico,Tyler Kirkham,APR190550,9781401292263,Color,Softcover
Injustice 2 TP Vol 04,"(W) Tom Taylor (A) Daniel Sampere & Various (CA) Bruno Redondo Batman looks for allies in an unexpected place-the Phantom Zone-and what he finds may change the course of his war with Ra's al Ghul! The Dark Knight leads his team-including Harley Quinn, Catwoman, Plastic Man, Green Arrow and Black Canary-to Superman's abandoned Fortress of Solitude in hopes of freeing the Teen Titans from their years-long exile in the Phantom Zone. But the Fortress isn't abandoned, and more than just the Titans are about to escape the Phantom Zone! It's a rescue with unexpected casualties, and success will require the return of one hero near death and another one long vanished! Collects INJUSTICE 2 #18-24.",9.85,160.0,DC,Tom Taylor,Daniel Sampere,Bruno Redondo,JAN190678,9781401289157,Color,Softcover
Justice League By Scott Snyder Book Two Deluxe Edition HC,"(W) Scott Snyder, James Tynion IV (A) Various (CA) Jorge Jimenez Scott Snyder reunites the World?s Greatest Heroes for epic journeys to ?Hawkworld? and ?The Sixth Dimension? in the second deluxe edition hardcover of the superstar writer?s Justice League run!<p>Martian Manhunter, John Stewart, and Hawkgirl take a trip to Thanagar-Prime, as J?onn looks to tap into the ancient Martian mental database, Green Lantern struggles while practicing his new UV powers, and Kendra searches for answers about her connection to the Totality.<p>Then, the Justice League has the map to the Sixth Dimension in hand?the key to saving the Multiverse from utter destruction! But with Superman trapped on a world with no light and hundreds of dead Supermen, Lex Luthor?s Legion of Doom is poised for victory. The final form of Perpetua takes shape, and the DCU will never be the same again!<p>Collects Justice League #14-25 and Annual #1.",23.19,,DC,James Tynion Iv Scott Snyder,Various,Jorge Jimenez,AUG207139,9781779505842,Full Color,Hardcover
House of Whispers Vol 03 Watching the Watchers TP (MR),"(W) NALO HOPKINSON and DAN WATTERS (A) DOMINIKE ?DOMO? STANTON and MATTHEW DOW SMITH (CA) DAVID MACK The goddess Erzulie is grieving the loss of one of her husbands, while her remaining spouses are asking themselves if they can remain by her side. But in the darkness, the Corinthian has his eyes on Erzulie?s place. Erzulie will need allies?including Papa Midnite, the dangerous immortal on whom everyone in the afterlife has sworn revenge! Collects House of Whispers #13-22.",11.59,,DC,Nalo Hopkinson And Dan Watters,Dominike ?Domo? Stanton And Matthew Dow Smith,David Mack,JUL207123,9781779504319,Full Color,Softcover
I Paparazzi HC (MR)                               ,"This hallucinatory, psychological thriller recounts one night in the life of ""Monster"" McGowran, one of New York City's paparazzi. A night that takes a left turn into weirdness when he's beaten to a pulp by the bodyguards of an inscrutable young movie star. But when Monster plans his revenge, he accidentally uncovers something strange, horrifying and not meant to be discovered.",17.37,96.0,DC,Pat Mcgreal,Steven Parke Stephen John Phillips,Steven Parke Stephen John Phillips,STAR14245,761941227801,Color,Hardcover
Justice League Dark TP Vol 06 Lost In Forever,"(W) J. M. DeMatteis (A) Andres Guinaldo & Various (CA) Guillem March In these stories from issues #35-40 and ANNUAL #2, Zatanna assumes leadership of the team and prepares to rebuild. With team members angry and confused by John Constantine's methods during their recent battles, how will Constantine fit into this new team, if at all?",9.85,200.0,DC,J. M. Dematteis,Andres Guinaldo,Guillem March,MAY150242,9781401254810,Full Color,Softcover
Jsa By Geoff Johns Book Four TP,"(W) GEOFF JOHNS and DAVID GOYER (A) LEONARD KIRK, STEPHEN SADOWSKI, PATRICK GLEASON, KEITH GIFFEN, PETER SNEJBJERG, and others (CA) MICHAEL BAIR Geoff Johns?s epic JSA run continues as heroes from around the world are vanishing, the JSA is divided, and the team is vulnerable to the threat of Vandal Savage! In the Ultra-Humanite?s latest world-conquering scheme, heroes from around the world?including members of the JSA?are vanishing, and those who remain must forge an unusual alliance with the Icicle to save the day. And with the JSA divided, handling multiple matters in different eras, several heroes find themselves in ancient Egypt, fighting the immortal villain Vandal Savage and an earlier incarnation of the powerful Black Adam. However, Power Girl and Dr. Mid-Nite also have their hands full with separate cases. Collects JSA #32-45.",23.19,,DC,Geoff Johns And David Goyer,"Stephen Sadowski, Patrick Gleason, Keith Giffen, Peter Snejbjerg, And Others Leonard Kirk",Michael Bair,JUL207124,9781779505613,Full Color,Softcover
Joker War Saga HC,"(W) Various (A) Various (CA) Ben Oliver The summer 2020 blockbuster ?The Joker War? is collected in this new hardcover that includes the tie-in chapters starring Batgirl, Red Hood, Nightwing, Catwoman, and, of course, Harley Quinn! As the Clown Prince of Crime battles the Dark Knight Detective head-to-head one last time. The Joker has never wanted to win before?he?s never wanted his battle with Batman to end. But now his motivation has shifted. This collection features the Joker?s confrontation with Batgirl; his manipulation of the amnesiac Nightwing; and a turf war between Gotham City?s many evildoers! Plus, the debut of Clownhunter, a cameo by Ghost-Maker, and an epic battle between Harley Quinn and Punchline! Collects Batman #95-100, Batgirl #47, Detective Comics #1025, Red Hood: Outlaw #48, Nightwing #74, The Joker War Zone #1, plus stories from Harley Quinn #75 and Catwoman #25.",23.19,,DC,Various,Various,Ben Oliver,NOV207081,9781779511799,Full Color,Hardcover
Huntress Origins TP,"(W) Paul Levitz (A) Joe Staton & Various (CA) Brian Bolland These are the 1970s stories that first introduced the Huntress: daughter of Batman and Catwoman of Earth-2! But after her mother is murdered, Helena dons a costume of her own. With her crossbow as her weapon, the Huntress vows to avenge her mother's death. This title collects stories from DC Super Stars #17, Batman Family #18-20, and Wonder Woman #271-287, #289, #290, #294, and #295.",11.59,224.0,DC,Paul Levitz,Joe Staton,Brian Bolland,OCT190672,9781779500724,Color,Softcover
Joker TP Black Label,"(W) Brian Azzarello (A) Lee Bermejo, Mick Gray (CA) Lee Bermejo FIRST TIME IN PAPERBACK! From writer Brian Azzarello and artist Lee Bermejo, the team behind the best-selling BATMAN: DAMNED, JOKER tells the story of one very dark night in Gotham City-a harrowing night of revenge, murder and crime as only The Joker can deliver it, as he brutally takes back his stolen assets from the Penguin, the Riddler, Two-Face, Killer Croc and others.",8.69,144.0,DC,Brian Azzarello,Lee Bermejo,Lee Bermejo,APR190556,9781401291860,Color,Softcover
Justice League By Geoff Johns Box Set Vol 01,"(W) Geoff Johns (A) Jim Lee & Various The first three collections of Geoff John's stellar run on JUSTICE LEAGUE are collected in a slipcase trade paperback! Don't miss the fast-paced action from the pages of JUSTICE LEAGUE VOL. 1: ORIGIN, JUSTICE LEAGUE VOL. 2: THE VILLAIN'S JOURNEY and JUSTICE LEAGUE VOL. 3: THRONE OF ATLANTIS, collecting JUSTICE LEAGUE #1-17 and AQUAMAN #15-16.",28.99,500.0,DC,Geoff Johns,Jim Lee,Unknown,APR170429,9781401276126,Color,Softcover
Just Imagine Stan Lee Creating the DC Universe Book 02 TP New Edition,"(W) Stan Lee, Michael Uslan (A) Various (CA) Adam Hughes In 2001, the unthinkable happened?Stan Lee, the comics creator most synonymous with Marvel, reimagined DC?s greatest heroes with a lineup of comics? greatest artists. Back in print following the legend?s passing in 2018, this collects the second half of Lee?s unique takes on DC?s greatest icons, reinventing them from the ground up.<p>Collects Just Imagine Stan Lee with John Byrne Creating Robin #1, Just Imagine Stan Lee with Gary Frank Creating SHAZAM! #1, Just Imagine Stan Lee with Scott McDaniel Creating Aquaman #1, Just Imagine Stan Lee with Chris Bachalo Creating Catwoman #1, Just Imagine Stan Lee with Walter Simonson Creating the Sandman #1, and Just Imagine Stan Lee with John Cassaday Creating Crisis #1.",20.29,,DC,Michael Uslan Stan Lee,Various,Adam Hughes,OCT207142,9781779506009,Full Color,Softcover
Joker Killer Smile HC,"The Eisner-nominated creative team of writer Jeff Lemire and artist Andrea Sorrentino (Green Arrow, Gideon Falls) reunite for a psychological horror story that delves into the bottomless insanity of The Joker. Everyone knows The Joker doesn't have the most promising history with psychotherapists. In fact, no one's even been able to diagnose him. But that doesn't matter to Dr. Ben Arnell; he's determined to be the one to unravel this unknowable mind. And there's no way The Joker could ever get through the therapeutic walls Ben has built around himself. Right? There's no way The Joker's been entering his house at night...right? There's no way The Joker has stood over his son's bed and put that book in his hands, the one with the, the, the... Collects Joker: Killer Smile #1-3 and Batman: The Smile Killer #1.",17.39,144.0,DC,Unknown,Unknown,Unknown,APR200679,9781779502698,Full Color,Hardcover
Justice League TP Vol 03 Throne of Atlantis (N52),"In this sea-splashed epic from JUSTICE LEAGUE #13-17 and AQUAMAN #15-16, Ocean Master leads the undersea forces in an attack on the United States! The Justice League must turn back the tide, but how can they save the world from annihilation?",9.85,192.0,DC,Geoff Johns,Various Ivan Reis,Joe Prado Ivan Reis,JAN140339,9781401246983,Color,Softcover
Justice League TP Vol 02 the Villains Journey (N52),"In this new trade paperback collecting issues #7-12 of the smash-hit series, find out what who has joined the team after its origin! And why does Green Arrow want to join their ranks so badly? Plus, someone is out to get the Justice League, and he is determined to show the world how mortal these godlike beings really are!",9.85,176.0,DC,Geoff Johns,Various Jim Lee,Jim Lee Scott Williams,JUN130261,9781401237653,Color,Softcover
Justice League TP Vol 02 Outbreak (Rebirth),"(W) Bryan Hitch (A) Matthew Clark & Various (CA) Tony S. Daniel, Sandu Florea After the team's Green Lanterns use their mastery over fear to help the rest of the Justice League, they must face an even greater threat: An unknown villain who's hacking into the Justice League's computers, causing the Batcave's weapons and security systems to turn against the Dark Knight and the Watchtower satellite to plummet to Earth - with Cyborg trapped on board! Collects JUSTICE LEAGUE #6-11.",9.85,152.0,DC,Bryan Hitch,Matthew Clark,Tony S. Daniel,JAN170380,9781401268701,Full Color,Softcover
Justice League TP Vol 01 the Totality TP,"(W) Scott Snyder, James TynionIV (A) Jim Cheung & Various (CA) Jim Cheung Spinning out of the cataclysmic events of Dark Nights: Metal and JUSTICE LEAGUE: NO JUSTICE, the core members of the Justice League-Superman, Batman, Wonder Woman, Aquaman, the Flash and more-are reunited in all-new adventures! The League was forced to make an impossible decision...and now it's time to face the consequences! The returning Martian Manhunter struggles to protect the team from an incoming threat that will shatter the world as they know it, while a familiar face strikes out on a dark path...This new title collects JUSTICE LEAGUE #1-7!",10.43,,DC,Scott Snyder,Jim Cheung,Jim Cheung,AUG180630,9781401284992,Color,Softcover
Justice League TP Vol 03 Hawkworld,"(W) Scott Snyder, James TynionIV (A) Jim Cheung & Various (CA) Jim Cheung It's a mystery in space: Why would the Guardians of the Universe hide top-secret intel deep in the bowels of a secret vault on Thanagar Prime? The answers will change the DC Universe forever! Martian Manhunter, John Stewart and Hawkgirl avoided 'Drowned Earth' with a detour to Thanagar-Prime: J'onn looks to tap into the ancient Martian mental database, Green Lantern struggles while practicing his new UV powers, and Kendra searches for answers about her connection to the Totality. Collects JUSTICE LEAGUE #13-18 and ANNUAL #1.",10.43,184.0,DC,Scott Snyder,Jim Cheung,Jim Cheung,APR190555,9781401291389,Color,Softcover
Justice League TP Vol 01 Origin (N52),"Now in trade paperback from comics superstars Geoff Johns and Jim Lee! In a universe where Super Heroes are strange and new, Batman has discovered a dark evil that requires him to unite the World Greatest Heroes! Superman, Batman, Wonder Woman, Green Lantern, Aquaman, The Flash and Cyborg unite for the first time to form the JUSTICE LEAGUE! Don't miss the thrill-a-minute collection of the first six issues of the best-selling comic!",9.85,192.0,DC,Geoff Johns,Scott Williams Jim Lee,Scott Williams Jim Lee,OCT120252,9781401237882,Color,Softcover
Justice League TP Vol 01 the Extinction Machine (Rebirth),"(W) Bryan Hitch (A) Tony S. Daniel & Various (CA) Tony S. Daniel In these stories from JUSTICE LEAGUE: REBIRTH #1 and issues #1-5 of the new series, a new day dawns for the Justice League as they welcome a slew of new members into their ranks. The question remains though, can the world's greatest superheroes trust these new recruits? And will the members of the League be able to come together against an ancient evil that threatens to reclaim not just the world, but the entire universe?",9.85,168.0,DC,Bryan Hitch,Tony S. Daniel,Tony S. Daniel,OCT160295,9781401267797,Full Color,Softcover
Justice League Their Greatest Triumphs TP,"(W) Geoff Johns & Various (A) Jim Lee & Various (CA) Jim Lee, Scott Williams With Warner Bros. movie JUSTICE LEAGUE set to hit theaters in November, DC offers this new collection of adventures starring the World's Greatest Heroes by some of comics' most legendary talent, including Geoff Johns, Jim Lee and more!",5.79,168.0,DC,Geoff Johns,Jim Lee,Jim Lee,JUL170482,9781401273514,Color,Softcover
Justice League the Darkseid War Essential Edition TP,"The Justice League originally united to stop the forces of Darkseid from destroying Earth! Now the ruler of Apokolips is back in this new DC Essential collection, but this time he's set his sights on the world-shattering Anti-Monitor. Will the combined might of the Justice League be enough to protect Earth from becoming collateral damage as gods fight? This title collects JUSTICE LEAGUE #40-50, a story from DC COMICS DIVERGENCE #1 and JUSTICE LEAGUE: DARKSEID SPECIAL #1.",17.39,,DC,Unknown,Unknown,Unknown,JUL180763,9781401284558,Color,Softcover
Justice League Suicide Squad #1 (Of 6) DCBS Var Ed *Fedex Upgrade,The first major event storyline of DC's Rebirth era begins with a day Amanda Waller always knew would come: the Justice League discovers the existence of the Suicide Squad! This government-sponsored black-ops team of super-villains with bombs implanted in their brains is obviously a deal-breaker for Earth's paragons of truth and justice! But you can bet that the Wall and her Task Force X won't go down without the fight to end all fights as this weekly series gets underway!,3.99,40.0,DC,Joshua Williamson,Jason Fabok,Jason Fabok,OCT168751,76194134865000126,Color,Softcover
